,Comment,Emotion
0,seriously hate one subject death feel reluctant drop,fear
1,full life feel appalled,anger
2,sit write start dig feeling think afraid accept possibility might make,fear
3,really angry r feel like idiot trust first place,joy
4,feel suspicious one outside like rapture happen something,fear
5,feel jealous becasue want kind love true connection two soul want,anger
6,friend mine keep tell morbid thing happen dog,anger
7,finally fall asleep feel angry useless still full anxiety,anger
8,feel bit annoyed antsy good way,anger
9,feel like regain another vital part life live,joy
10,feel bit like franz liebkind producer many people know fuhrer terrific dancer,joy
11,feel start not want move much really glad experience glimpse sort vibrant energy gain year,joy
12,bite dog,fear
13,always find feel thankful year gather trick allow feel grateful face moment last thing want say thank,joy
14,try talk anyone feel irritable like,anger
15,feel like hate since,anger
16,not know write following little note feel today u r offend follow post obviously live long enough compromise act believe,anger
17,feel offended choose tell guy feel treat guy friend would want put stop nonsense,anger
18,remember feel belong smart enough cool enough even young enough,joy
19,feel like redeem even though think realize distraught ok,fear
20,hope next quote able let special someone know feel insecure understand matter much trust,fear
21,feel much well without help ice,joy
22,sit type wonder belong feel distracted feel comfortable feeling misunderstood hurt,anger
23,still feel little shaky time move slightly odd jade hair particular seem prone generally work well spencer write,fear
24,strop bit feeling grumpy miss,anger
25,feeling shall go mad,anger
26,happpy get good result field academic athletic,joy
27,get feeling brig sincere strong desire help other become successful financially also build strengthen relationship christianity,joy
28,feel deeply overwhelmed ordinary task,fear
29,feel grouchy irritable sick,anger
30,feel heart shaky time,fear
31,expect feel content,joy
32,feel amuse absurdity,joy
33,end get unwanted attention boy want little ill sort start something boy find flirtie other presence ill feel really insincere around boy like,anger
34,could not help feel little bit bitter towards great big happy grin,anger
35,go back point easy sell get folk feel really virtuous not want anyway,joy
36,feel bit sociable although not think ill able express everything want say,joy
37,would feel joyful,joy
38,certain situation feel neglect undeservedly harm,anger
39,feel good feel fine today,joy
40,look happen we two generation look happen two three instead feel outraged history aggression feel privilege,anger
41,feel slightly optimistic,joy
42,feel hateful hollow yes hear many smith day,anger
43,still feel indecisive poll p,fear
44,sometime back another girl term exboyfriend come shout twelve midnight think still interested boy,anger
45,start feel resentful live part country sun stubbornly refuse show end september,anger
46,feel fuck day,anger
47,confess feel nervous make way event venue,fear
48,really worried would feel intimidate monica meet morning incredibly welcoming make feel relaxed straight away,fear
49,sick cold amp feel well wonder would even able patience go whitleys month photo shoot,joy
50,feel like bit obnoxious picture post,anger
51,feel morally outraged furious often like,anger
52,feel pissed friend not offer soda,anger
53,feel heart tread dangerous territory,anger
54,feel frightened,fear
55,know pleasant feel selfish say think would fall apart,anger
56,feel shafted greedy,anger
57,crappy week still feel agitated like day want,fear
58,feel rebellious particularly like watch romcom get feeling may pretty good write,anger
59,feel reluctant leave alone like without help enough repay goodness,fear
60,ashamed feel like moment see terrified cry child dead one,fear
61,wake morning voice throat feel ok afternoon scratchy sound like marge simpson night bad throat sore whisper,joy
62,always nervous something like feel like really talente enter something official contest,joy
63,feel bit pissed go first,anger
64,feel satisfied know dirt hair long car house,joy
65,really like special edition really feel special song,joy
66,would accept gift without feel mad,anger
67,feel hesitant since experience programming,fear
68,feel particularly bitchy not think adequately express appreciation,anger
69,feel confused,fear
70,professor look like spitball friend die cry pillow night feel dangerous tickle jealousy lure lair,anger
71,feel rush finish million thing able focus task separately,anger
72,feel tortured,anger
73,dunno feel completely happy real world teach struggle go thru nothing close struggle,joy
74,feel like take role grandmother since beloved grandma long,joy
75,fear people ask feeling reluctant talk thing,fear
76,would smile except start feel like uptight comment jaw would fall right head,fear
77,feel comfortable around,joy
78,feel completely unsure boundary normalcy,fear
79,think feel gratitude think kind gracious heavenly father,joy
80,feel really really leave somewhat dissatisfied everything,anger
81,simply say sorry get car get house feel restless,fear
82,feel weird feel wanna know,fear
83,incredible feeling frantic despair,fear
84,feel reluctant sell hey,fear
85,take long sip feel cold sensation iced capp,anger
86,feeling pressure even long race one expect,fear
87,also hope understand feel angry not support hat rule turn school event san hat,anger
88,remember feel terrified ever feel entire life still affect never think account trauma,fear
89,confess feeling still could not bring scared lose,fear
90,clearly influence dash happiness emily dickinson example use dash instead colon semi colon enhance feeling rush enjambment sonnet,anger
91,pray eye read mind comprehend heart feel offend,anger
92,afraid go feel like lot people group part feel like would cool small group hang,joy
93,possibility fail examination,fear
94,feel thankful part country train outdoors late year bundle wear several layer,joy
95,feel rather grouchy morning since not sleep last night purpose,anger
96,feel like earthquake also shake foundation life work,fear
97,might able recreate feeling get back cold fog await tomorrow night,anger
98,wake feel positive totally mood evening feel banana shake breakfast chocolate shake dinner sunday roast tea,joy
99,would go straight point rather defination romance feeling anger feeling suspicious feeling,fear
100,feel bitchy mean terrible,anger
101,feel envious keep post regular interesting wish could feel way,anger
102,feel like try stay faithful possible perceive real event happen mountain,joy
103,feel assault new kid whine,fear
104,long road initially feel like rude turn food make bring sometimes eat stuff gluten free look delicious even maybe not feel good eat really mediocre wedding cake example,anger
105,want make sure not feel rush get century college friday afternoon,anger
106,kick gear feel irritable motivation ever,anger
107,feel much productive college keep productivity full gear ill chalk idea art project summer train army attack pigeon take tiny uninhabited island,joy
108,feeling father already convince,joy
109,feel bother,anger
110,p could sit beat feel far rebellious today basically feel angry world time,anger
111,totally feel bitchy resentful,anger
112,drive class feel little apprehensive still sweat,fear
113,feel wrong,anger
114,feel weird feel like wanna curse everything bang head onto wall world back focus,fear
115,feel suspicious wrinkle prevention beauty product reason,fear
116,feel see frantic thus afraid,fear
117,feel grumpy today,anger
118,feel get know student pretty well talk parent drop student day,joy
119,can not help feel suspicious everything,fear
120,say make difference parent open easy talk teacher really feel perfect fit child,joy
121,feel little bit frightened islam,fear
122,feel terrific,joy
123,feel like insecurity good thing first start write picture,joy
124,even deep feeling alaska cold snowy yet big open land pine tree mountain destine live southern california,anger
125,feel like shy much take mother describe,fear
126,feel like time anyone get ring intimidate arm leg not even really try,fear
127,feel cranky cantankerous resentful like house slave basically almost mother know rely heavily either alcohol marijuana separation divorce get space sanity away maternal responsibility,anger
128,go crazy thank god craving fruit chocolate make go cold gross wind blow neck feel mad angry crappy,anger
129,convinced make since talking never feel sincere execution maybe theme life seem large ever fathom point already feel like emotionless pit self craving attention,joy
130,begin feel apprehensive thick black rain cloud storm sky town,fear
131,think pop automatically see picture people make feel insecure,fear
132,shut door feel triumphant,joy
133,could even feel cold breath neck whisper hertha run finger across side neck,anger
134,feel like life give plenty change shine piss every one,anger
135,feel grumpy woman problem grumpy five year old want get way kind grumpy think difference,anger
136,feel like back element pleased surround adorable tiny garment,joy
137,know feel tortured read,anger
138,feeling hell casual favorite blue red heavy color casual table otherwise could see tournament deck red popular possibly blue step place one zendikar block rotate,joy
139,think valid complaint not willing deal aspect imagine rather subjective make sure cover base moment still feel dangerous despite cover,anger
140,feel like must popular choice alteration do elsewhere,joy
141,feel bothered,anger
142,notice go start feel irritated easily annoy thing feel tiny ache inside almost unnoticeable first day tiny hair burrow way foot,anger
143,say without emotion feel freak fearful anxiety well chest,fear
144,understand extremely positive attribute overshadow weakness subconsciously people wire feel superior other thereby treat differently,joy
145,find hard feel relaxed hour,joy
146,feel grumpy sore,anger
147,make assumption base see think feel wonder strange thing,fear
148,feel motivation satisfied read write also understand,joy
149,walk door house feel happy,joy
150,feel terrified customer maze,fear
151,find email scott dale read frusterate much feel need post show world neurotic freak,fear
152,neglect feeling people around stubborn,anger
153,sneakily listen x mas music since beginning october feel little socially acceptable prance around eartha kitt version santa baby blare ipod,joy
154,feel terrified nervous normally would type situation,fear
155,typically respond feel offended,anger
156,wear feel confident,joy
157,feel like fearful first throw leg top tube surgery,fear
158,feel unprotected though,fear
159,feel artistic today,joy
160,confess feel bit nervous though talented people group,fear
161,manage eat usually race morning mostly jon not feel quite nervous,fear
162,never read post never would spend emotional mental energy argue head feel irritated,anger
163,feel pressured time succumb fear insecurity thankfully still able hold,fear
164,feel strength determined motivated workout room,joy
165,feel doubtful writing dream know behind,fear
166,feel enraged want punch year old,anger
167,get actually feel like everyone buy smell amazing,joy
168,think soon well well feel greg already distressed mood mom,fear
169,excited feel kind shy smile,fear
170,wear feel anxious visable spotlight different unfashionable stupid embarrassed ashamed paranoid,fear
171,feel like back arm beloved last see long time ago,joy
172,feel satisfied happy choice today,joy
173,walk away feel inspire excite realistic thing could increase blog chance find,joy
174,feel confused life want know life,fear
175,look around disappoint little show evening apparently day feel selfish,anger
176,feel say impatient,anger
177,feel reluctant blog free period even hp plug laptop charge make easy upload photo online,fear
178,always notice even though fabulous hide accord rest world feel keenly greatly distressed,fear
179,get stitch side first mile could not feel foot cold etc etc,anger
180,feel uncomfortable need sit bad presentation,fear
181,feel option violent probably costly yet equally futile problem keep man woman harm way,anger
182,collect feel vital create something precious item tribute earth power generosity,joy
183,feel though fuck majorly summer cast alternate universe go wrong way timeline stuck world one know one way,anger
184,friend help dress practise thai introduction session sit feel helpless,fear
185,feel helpless stop,fear
186,feel disgusted already seriously though not really like picture take cause always refer ugly,anger
187,feel angered though,anger
188,feel virtuous today,joy
189,feel good inside see people walk away handmade piece,joy
190,go see pcm post follow appointment leave feel hopeful optimistic,joy
191,wish girl ask prom accept invitation way could heartbroken do feeling indecisive,fear
