,Comment,Emotion
0,not feel humiliate,sadness
1,go feel hopeless damned hopeful around someone care awake,sadness
2,grab minute post feel greedy wrong,anger
3,ever feel nostalgic fireplace know still property,love
4,feel grouchy,anger
5,feel little burden lately not sure,sadness
6,take milligram time recommend amount fall asleep lot fast also feel like funny,surprise
7,feel confused life teenager jade year old man,fear
8,petrona year feel petrona perform well make huge profit,joy
9,feel romantic,love
10,feel like make suffering see mean something,sadness
11,feel running divine experience expect type spiritual encounter,joy
12,think easy time year feel dissatisfied,anger
13,feel low energy thirsty,sadness
14,immense sympathy general point possible proto writer try find time write corner life sign agent let alone publishing contract feel little precious,joy
15,feel reassure anxiety side,joy
16,not really feel embarrassed,sadness
17,feel pretty pathetic time,sadness
18,start feel sentimental doll child begin collection vintage barbie doll sixty,sadness
19,feel compromise skeptical value every unit work put,fear
20,feel irritated reject without anyone anything say anything,anger
21,feel completely overwhelmed two strategy help feel ground pour heart journal form letter god end list five thing grateful,fear
22,feeling amuse delight,joy
23,able help chai lifeline support encouragement great feeling glad able help,joy
24,already feel like fuck though not usually eat morning,anger
25,still love wish good long tolerate effect bm life fact turn bitter angry person always particularly kind people around feel stress,sadness
26,feel inhibit someone else kitchen like paint someone else picture,sadness
27,become overwhelmed feel defeat,sadness
28,feel kinda appal feel like need explain wide lenghth body measure etc pp,anger
29,feel superior dead chicken grieve child,joy
30,get giddy feel elegant perfectly fit pencil skirt,joy
31,remember feel acutely distressed day,fear
32,see hear read past couple day leave feel impressed company,surprise
33,climb hill feeling frustrate pretty much pace entirely wrong course factor never ever hamper make dent day,anger
34,imagine real life scenario would emotionally connect enough someone feel totally accept safe morally acceptable close prolonged physical contact sex expect subsequently,joy
35,sure would make feel content anything,joy
36,feel need creative,joy
37,however want know something someone cause feel less splendid self step away,joy
38,feel bit rude writing elderly gentleman ask gift feel bit greedy christmas mild greed,anger
39,need need someone need protect feel safe small find season word,joy
40,plan share everyday life story travel adventure inspiration handmade creation hope also feel inspired,joy
41,already christmas tree get two feel festive sure spur get start book,joy
42,wear little concealer day feel brave not want pale perfect,joy
43,feel strongly passionate jerk decide poke make fun we,joy
44,feel discouraged already rob peter pay paul get cow year can not afford get cow way,sadness
45,feel listless need new thing something different,sadness
46,lose special mind worry still sane want feel feel read book know many time say sam special guarantee many time use paragraph tell special,joy
47,let go sad feeling want accept first home mine,love
48,boat trip denmark,joy
49,stop feel cold begin feel hot,anger
50,need feel dough make sure perfect,joy
51,find feel little discouraged morning,sadness
52,feel selfish spoil,anger
53,stymie little bit write feel unsure might go somewhere story unintende,fear
54,bag qaf look cryin jacynthe lookin good feelin gorgeous rupaul skin scissor sister valentine sun feed kayle daddy gerle awake unkind u,joy
55,feel know basically like fake realm science fiction,sadness
56,hate live dad roof give excuse asshole provide live think feel need make feel unwelcome possible ill leave,sadness
57,keep feel pleasantly surprised supportiveness also ease new situation,surprise
58,feeling anymore vigorous sexual activity come yes misspell cumme day part begin fall,joy
59,feel mom graceful warm love smile rob time nurture heal,joy
60,feel talk brother law extremely popular one think stiff,joy
61,eat could feel gentle tingle throughout almost feel healing take place cellular level,love
62,feel like pressure young beautiful thin depend trend girl rejuvenate butt implant,fear
63,begin several time week feeling torture hallucination move people figure sound vibration,fear
64,nearly finish week detox feel amazing,surprise
65,feel selfish read back former post never ask prayer other never consider may other deserve prayer answer,anger
66,know pain parent feel enraged child become violent,anger
67,roller coaster emotion suppose feeling something unpleasant come,sadness
68,suppose truth need share not feel faithful lately dwell doubt uncertainty faith,love
69,feel brave buy clearly makeup,joy
70,feel miserable c also proud mum earth,sadness
71,figure family love we matter around anyone else feel embarrassed michelle go ballistic,sadness
72,necessarily think f bomb sex necessary story feel reassure see print journal,joy
73,feel ovary ache talk like put,sadness
74,feel like much chri mostly take many picture unimportant stuff,sadness
75,tired book ready find give unsuitable image feeling blame result sit well,sadness
76,successfully manage stretch mxm canvas feel achievement worthwhile usage money time use canvas future brief,joy
77,think feeling one nay important thing,joy
78,feel completely honored influence young talente fully alive beautiful girl woman,joy
79,feel angered firey,anger
80,feel like miserable piece garbage,sadness
81,feel like need make list leanne would appal thought not miss anything,anger
82,drive dannika school feel little bit rush greet turn corner,anger
83,remember feel hellip furious shooter,anger
84,feel happy excited since learn many thing,joy
85,feel show around show horse people trust relaxed show horse safe quiet handle frequently,joy
86,couple thing leave make start december do feel smug,joy
87,think u could make feel realize everything ok,joy
88,feel worthless time struggle find work,sadness
89,able lay bed dark feel terrified least,fear
90,ready meet mom airport feel ever supportive arm around,love
91,feel bitter today mood strange entire day guess,anger
92,mum brother pass away involve car accident bring present pass form five exam fly colour,sadness
93,let go animosity towards anyone feel wrong,anger
94,talk dog feel understand word read emotion know supportive decide go home,love
95,feel like throw away shitty piece shit paper,sadness
96,start feel wryly amuse banal comedy error life turn,joy
97,find every body beautiful want people feel vital body,joy
98,hear owner feel victimize association association attorney property manager,sadness
99,say goodbye fam sad crying feel like heartless bitch hey pretty excited fly first time know also spend year another country,anger
100,will not let child cry feel love lily little go opportunity last short month,love
101,alba feel good fitting,joy
102,feel excited feel like ton catch,joy
103,also know good feel look back see honor word help start,joy
104,mean really really hard work obtain high technical skill wushu feel kinda ashamed somehow motivated see kid wushu performance whole heartedly despite tiredness,sadness
105,feel like thing get little overwhelming spritz toner really help calm soothe,joy
106,hope realize little effort require make person feel well situation whether family member college high school friend neighbor street even complete stranger,joy
107,feel festive today even go put tree soon finish catch week going on coronation street,joy
108,find ill seriously,joy
109,alright class combination feel unsuccessful man handle stress late horrible week result almost cry finish grapple,sadness
110,feel rarely advance worthwhile cause always stick rule post anything online would not prepared say somebodys face,joy
111,feel useful,joy
112,feel like pain imagine become passionate group idea cause pain,love
113,feel ugly inclined wear ratty jean sweatshirt beautiful dress though might still wear pair heel around house boost self esteem ever slightly definitely bother buy new pair,sadness
114,feel homesick yet feel alright,sadness
115,dance feel pretty,joy
116,workout every morning feel fabulous,joy
117,feel eye touch word eye know assuredly return love know shall vain,sadness
118,feel fabulous friday morning start get awful cramp work,joy
119,feel honoured able call friend share brotherhood,joy
120,begin feel apprehensive thick black rain cloud storm sky town,fear
121,state reason feel fearful feel unsafe,fear
122,feel like getting shake tsa quite yet pull side creative croissant lunch,fear
123,get group feel really awkward overcompensate talkative get really quiet,sadness
124,excited finally meet companion companion time especially lonely lonely companion never disappoint companion put arm around make feel love,love
125,feel pretty safe blog img src http,joy
126,feel pretty eager get do fun plan quilt,joy
127,feel horny ask let go home,love
128,think poem put pressure feel uncomfortable sense feel feel understand understand love able love,fear
129,feel stranger strange land raise son place father ancestral home,surprise
130,leave shower question feel gorgeous fantastic body confident movement effortlessly graceful,joy
131,feel energetic bouncy happy go gym run around outside kid take pram long walk often three one day,joy
132,still feel strong,joy
133,burst tear devastating release feeling thought seem know rich also go space without dump,joy
134,want get pumpkin spice latte morning hot last thing want hot coffee maybe feel little bitter,anger
135,suppose feel badly bit skeptical pain last month hyperchondria exaggeration habit past though never openly question,fear
136,clench corner bed feel assured,joy
137,also feel like selfish grateful life amazing thing,anger
138,call god see god book figure god right name feel utterly affirm accept without question,love
139,know perhaps girl office nice short hair perhaps feel rebellious,anger
140,feel miserable family type celebrate eid,sadness
141,might go get car wash feel really generous car need,joy
142,still feel sleep deprive almost sleep night give we,sadness
143,feel really violent right,anger
144,blog sit feel content dog amp cat etc know lucky truth,joy
145,start feel funny friday wake sick dog,surprise
146,feel need protect parent witch hunt repress memory therapy,sadness
147,feel disgusted even associate woman race nationality,anger
148,laugh bitterly not feel bitter,anger
149,know feel think wish could we we know however much hate first experience would remember forever,sadness
150,feel quite mellow want soft easy look wear beginning cold,joy
